Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Авиатор;Мартин Скорсезе;США, Германия;биографический, драма, мелодрама;2004;519;8.22;1
Бердмен;Алехандро Гонсалес Иньярриту;США;комедия;2014;520;8.22;1
Инопланетянин;Стивен Спилберг;США;детский, драма, приключения, семейный, фантастика, фэнтези;1982;521;8.22;1
Мост в Терабитию;Габор Чупо;США;драма, приключения, семейный, фэнтези;2007;522;8.22;0
Королевство полной луны;Уэс Андерсон;США;драма, комедия;2012;523;8.22;1
Дом у озера;Алехандро Агрести;США;драма, мелодрама, фэнтези;2006;524;8.22;0
Проклятый путь;Сэм Мендес;США;драма, кинокомикс, криминал, приключения;2002;525;8.22;0
К-19;Кэтрин Бигилоу;США, Германия, Канада, Великобритания;драма, исторический, триллер;2002;526;8.22;0
Фантомас против Скотланд-Ярда;Андре Юнебель;Франция, Италия;комедия, криминал, приключения, фэнтези;1967;527;8.22;0
Восстание планеты обезьян;Руперт Уайатт;США;боевик, драма, триллер, фантастика;2011;528;8.21;4
Законопослушный гражданин;Ф. Гэри Грей;США;драма, криминал, триллер;2009;529;8.21;1
Эйс Вентура 2: Когда зовет природа;Стив Одекерк;США;боевик, детектив, комедия, приключения;1995;530;8.21;2
Железная хватка;Итан Коэн, Джоэл Коэн;США;вестерн, драма, приключения;2010;531;8.21;1
Брат 2;Алексей Балабанов;США, Россия;боевик, криминал;2000;532;8.21;1
Соучастник;Майкл Манн;США;драма, криминал, триллер;2004;533;8.21;0
Такси 2;Жерар Кравчик;Франция;боевик, комедия, криминал;2000;534;8.21;0
Отверженные;Том Хупер;США, Великобритания;военный, драма, исторический, мелодрама, мюзикл;2012;535;8.21;0
Кейт и Лео;Джеймс Мэнголд;США;комедия, мелодрама, фэнтези;2001;536;8.21;0
Близкие контакты третьей степени;Стивен Спилберг;США, Великобритания;драма, приключения, фантастика;1977;537;8.21;0
Спасатель;Эндрю Дэвис;США;боевик, драма, приключения;2006;538;8.21;0
Сердце дракона;Роб Коэн;США;боевик, драма, приключения, фэнтези;1996;539;8.21;1
Народ против Ларри Флинта;Милош Форман;США, Канада;биографический, драма;1996;540;8.21;0
Ширли-мырли;Владимир Меньшов;Россия;комедия;1995;541;8.21;0
Эйс Вентура: Розыск домашних животных;Том Шэдьяк;США;боевик, детектив, комедия, триллер;1994;542;8.2;1
Поезд на Юму;Джеймс Мэнголд;США;боевик, вестерн, драма, криминал;2007;543;8.2;0
Ла-Ла Ленд;Дэмьен Шазелл;США;драма, комедия, мелодрама, мюзикл;2016;544;8.2;1
Полночь в Париже;Вуди Аллен;США, Испания;комедия, мелодрама, фэнтези;2011;545;8.2;2
Кон-Тики;Хоаким Роннинг, Эспен Сандберг;Великобритания, Норвегия, Дания;биографический, боевик, драма, исторический, приключения;2012;546;8.2;0
Мы купили зоопарк;Кэмерон Кроу;США;драма, комедия, семейный;2011;547;8.2;0
Хакеры;Иэн Софтли;США;драма, криминал, триллер;1995;548;8.2;1
12 лет рабства;Стив МакКуин;США, Новая Зеландия, Великобритания;биографический, драма, исторический;2013;549;8.19;0
Воздушная тюрьма;Саймон Уэст;США;боевик, криминал, триллер;1997;550;8.19;1
Погребенный заживо;Родриго Кортес;Испания;детектив, драма, триллер;2010;551;8.19;0
Доктор Сон;Майк Флэнеган;США;драма, триллер, ужасы, фэнтези;2019;552;8.19;1
